id,government_id,diagnosed_date,age,gender,detected_city,detected_district,detected_state,nationality,current_status,status_change_date,notes
1,US-85281,11/05/2023,,M,Salazarmouth,East Kimberly,Idaho,USA,Recovered,19/08/2023,N/A
2,US-573541,03/01/2023,,M,North Meghan,East Natasha,North Dakota,USA,Deceased,28/11/2023,N/A
3,US-662881,01/04/2023,,M,East Amanda,Rodriguezhaven,Washington,USA,Deceased,14/11/2023,N/A
4,US-827871,04/02/2023,58,M,East William,Brendaview,Wyoming,USA,Hospitalized,25/02/2023,N/A
5,US-330608,28/12/2022,,M,West Jameshaven,Port Alexville,Utah,USA,Deceased,31/10/2023,N/A
6,US-76531,22/10/2023,,M,Lake Cory,Colehaven,Kansas,USA,Deceased,07/02/2023,N/A
7,US-699062,07/05/2023,,M,Lestad,West Christopher,Mississippi,USA,Deceased,09/01/2023,N/A
8,US-698074,18/08/2023,83,F,West Josetown,North Garyshire,Alabama,USA,Deceased,18/02/2023,N/A
9,US-253140,26/02/2023,,F,New Gracefort,Wernerburgh,Kansas,USA,Deceased,12/09/2023,N/A
10,US-956314,26/12/2022,57,M,West Julieville,Shawnfort,Idaho,USA,Deceased,02/12/2023,N/A
11,US-447078,06/07/2023,14,M,South Steven,Robinsonberg,Arizona,USA,Hospitalized,17/10/2023,N/A
12,US-636438,24/09/2023,,F,Oconnormouth,North Frederick,Nevada,USA,Recovered,10/10/2023,N/A
13,US-173882,30/11/2023,42,M,North Annville,Khanchester,North Dakota,USA,Recovered,24/12/2022,N/A
14,US-207817,05/05/2023,19,F,Lake Roberto,Trevinoview,West Virginia,USA,Deceased,29/01/2023,N/A
15,US-405135,06/02/2023,28,M,South Francisco,Port Joshuaborough,North Carolina,USA,Hospitalized,28/03/2023,N/A
16,US-37634,13/11/2023,,M,Lake Laurie,New Tommouth,Wisconsin,USA,Recovered,11/03/2023,N/A
17,US-395030,18/08/2023,75,F,New Cynthiafurt,Paulmouth,Hawaii,USA,Deceased,15/04/2023,N/A
18,US-436438,24/02/2023,61,M,New David,Escobarstad,California,USA,Recovered,18/10/2023,N/A
19,US-212307,15/07/2023,39,M,Lake Darleneberg,South Maryport,Florida,USA,Deceased,01/08/2023,N/A
20,US-747084,05/04/2023,90,M,Johnsonborough,Robertton,Montana,USA,Recovered,19/03/2023,N/A
21,US-983986,21/06/2023,48,M,Lauriehaven,Hallburgh,Georgia,USA,Recovered,21/07/2023,N/A
22,US-464338,16/06/2023,49,F,North Michael,New Jeremy,Delaware,USA,Hospitalized,11/05/2023,N/A
